date,portfolio_value,USDT_balance,BTC_balance,BTC_price,ETH_balance,BNB_balance,SOL_balance,other_balance,daily_return,cumulative_return
2025-02-27,53066.537026800004,0.0,0.62646,84708.58,0.0,0.0,0.0,0.0,0.005442011990729023,-0.010957023945566115
2025-02-28,52841.8634124,0.0,0.62646,84349.94,0.0,0.0,0.0,0.0,-0.0042338096093690325,-0.015144443601664304
2025-03-01,53915.9854638,0.0,0.62646,86064.53,0.0,0.0,0.0,0.0,0.02032710396711601,0.004874817685836608
2025-03-02,59056.3842,0.0,0.62646,94270.0,0.0,0.0,0.0,0.0,0.0953409029248169,0.10068049013041507
2025-03-03,54013.7633406,0.0,0.62646,86220.61,0.0,0.0,0.0,0.0,-0.08538654927336375,0.006697181225664266
2025-03-04,54678.6691908,0.0,0.62646,87281.98,0.0,0.0,0.0,0.0,0.012309933784973248,0.019089556868071324
2025-03-05,56761.041024599996,0.0,0.62646,90606.01,0.0,0.0,0.0,0.0,0.038083806073143656,0.057900365923000754
2025-03-06,56338.7318094,0.0,0.62646,89931.89,0.0,0.0,0.0,0.0,-0.007440124556858829,0.05002945543178714
2025-03-07,54377.824305,0.0,0.62646,86801.75,0.0,0.0,0.0,0.0,-0.034805673493573774,0.013482473047393223
2025-03-08,54014.916027,0.0,0.62646,86222.45,0.0,0.0,0.0,0.0,-0.006673828580645025,0.006718664752786731
2025-03-09,50576.8534302,0.0,0.62646,80734.37,0.0,0.0,0.0,0.0,-0.0636502442229373,-0.057359224122517524
2025-03-10,49237.1624556,0.0,0.62646,78595.86,0.0,0.0,0.0,0.0,-0.02648822304552556,-0.0823281032457676
2025-03-11,51954.200915400004,0.0,0.62646,82932.99,0.0,0.0,0.0,0.0,0.055182677560879245,-0.03168851086049837
2025-03-12,52422.2479752,0.0,0.62646,83680.12,0.0,0.0,0.0,0.0,0.009008839546240877,-0.022965148024059107
2025-03-13,50815.791538800004,0.0,0.62646,81115.78,0.0,0.0,0.0,0.0,-0.030644554525017353,-0.05290594581827807
2025-03-14,52612.115472,0.0,0.62646,83983.2,0.0,0.0,0.0,0.0,0.03534971863674352,-0.019426437480421447
2025-03-15,52834.6591224,0.0,0.62646,84338.44,0.0,0.0,0.0,0.0,0.004229893597767154,-0.015278715646180082
2025-03-16,51729.6400638,0.0,0.62646,82574.53,0.0,0.0,0.0,0.0,-0.020914662400679962,-0.035873828867204215
2025-03-17,52628.9233938,0.0,0.62646,84010.03,0.0,0.0,0.0,0.0,0.01738429513313622,-0.019113174962651115
2025-03-18,51817.6576938,0.0,0.62646,82715.03,0.0,0.0,0.0,0.0,-0.015414826063030906,-0.034233374758120445
2025-03-19,54405.507572400005,0.0,0.62646,86845.94,0.0,0.0,0.0,0.0,0.04994146771149088,0.013998427973232504
2025-03-20,52762.584899400004,0.0,0.62646,84223.39,0.0,0.0,0.0,0.0,-0.030197727147636355,-0.016622019882835404
2025-03-21,52678.2633834,0.0,0.62646,84088.79,0.0,0.0,0.0,0.0,-0.0015981308755205204,-0.018193586595167642
2025-03-22,52522.7760114,0.0,0.62646,83840.59,0.0,0.0,0.0,0.0,-0.0029516419489447054,-0.02109152759071633
2025-03-23,53927.24295,0.0,0.62646,86082.5,0.0,0.0,0.0,0.0,0.02674015056430301,0.00508463235017985
2025-03-24,54814.0973136,0.0,0.62646,87498.16,0.0,0.0,0.0,0.0,0.01644538669299811,0.021613637788368337
2025-03-25,54748.137340199995,0.0,0.62646,87392.87,0.0,0.0,0.0,0.0,-0.0012033395902270039,0.02038428965210182
2025-03-26,54445.1186382,0.0,0.62646,86909.17,0.0,0.0,0.0,0.0,-0.005534776464029556,0.0147366907014699
2025-03-27,54647.3649846,0.0,0.62646,87232.01,0.0,0.0,0.0,0.0,0.003714682811951864,0.018506115645075455
2025-03-28,52888.497094800005,0.0,0.62646,84424.38,0.0,0.0,0.0,0.0,-0.0321857767578666,-0.014275294819598824
2025-03-29,51776.0043684,0.0,0.62646,82648.54,0.0,0.0,0.0,0.0,-0.02103468216171689,-0.03500970069202068
2025-03-30,51614.03313540001,0.0,0.62646,82389.99,0.0,0.0,0.0,0.0,-0.0031283069247197703,-0.038028486527633285
2025-03-31,51714.2792646,0.0,0.62646,82550.01,0.0,0.0,0.0,0.0,0.0019422262340362817,-0.03616012021777164
2025-04-01,53348.2936764,0.0,0.62646,85158.34,0.0,0.0,0.0,0.0,0.0315969677047887,-0.00570570266370505
2025-04-02,51693.1550334,0.0,0.62646,82516.29,0.0,0.0,0.0,0.0,-0.0310251468030025,-0.03655382920395179
2025-04-03,52129.6723614,0.0,0.62646,83213.09,0.0,0.0,0.0,0.0,0.008444393222235336,-0.028418110889293087
2025-04-04,52558.92077139999,1.0783177000001496,0.62651,83889.87,0.0,0.0,0.0,0.0,0.008234243388758333,-0.020417869142245974
2025-04-05,52338.464432600005,1.0783177000001496,0.62651,83537.99,0.0,0.0,0.0,0.0,-0.004194460912902764,-0.024526688101106774
2025-04-06,49138.2576177,1.0783177000001496,0.62651,78430.0,0.0,0.0,0.0,0.0,-0.06114445369372923,-0.08417147084997732
2025-04-07,49597.6398101,1.0783177000001496,0.62651,79163.24,0.0,0.0,0.0,0.0,0.009348768447876799,-0.07560960199299409
2025-04-08,47817.8376719,1.0783177000001496,0.62651,76322.42,0.0,0.0,0.0,0.0,-0.0358848151850476,-0.10878118058430813
2025-04-09,51760.3397999,1.0783177000001496,0.62651,82615.22,0.0,0.0,0.0,0.0,0.08244835651187965,-0.03530165363102669
2025-04-10,49875.8478407,1.0783177000001496,0.62651,79607.3,0.0,0.0,0.0,0.0,-0.03640802912974006,-0.07042441912704028
2025-04-11,52266.948316099995,1.0783177000001496,0.62651,83423.84,0.0,0.0,0.0,0.0,0.047941049203554575,-0.025859590465986994
2025-04-12,53427.9089367,1.0783177000001496,0.62651,85276.9,0.0,0.0,0.0,0.0,0.022212137077120886,-0.004221850157054878
2025-04-13,52477.555917699996,1.0783177000001496,0.62651,83760.0,0.0,0.0,0.0,0.0,-0.017787576529075033,-0.02193433020336699
2025-04-14,52998.5491035,1.0783177000001496,0.62651,84591.58,0.0,0.0,0.0,0.0,0.009927923979864417,-0.01222416858631092
2025-04-15,52404.8744926,1.0783177000001496,0.62651,83643.99,0.0,0.0,0.0,0.0,-0.011201714404306173,-0.0232889513452831
2025-04-16,87115.91595416,85851.25873516,0.01505000000000001,84030.38,0.0,0.0,0.0,0.0,0.6623628392901022,0.6236481520076684
2025-04-17,87129.72478065999,85851.25873516,0.01505000000000001,84947.91,0.0,0.0,0.0,0.0,0.00015851094887486816,0.6239055180168821
2025-04-18,87122.60281966,85851.25873516,0.01505000000000001,84474.69,0.0,0.0,0.0,0.0,-8.173973942793289e-05,0.6237727804029838
2025-04-19,87131.66773566,85851.25873516,0.01505000000000001,85077.01,0.0,0.0,0.0,0.0,0.00010404780971429162,0.6239417304042586
2025-04-20,87133.20629716,85851.25873516,0.01505000000000001,85179.24,0.0,0.0,0.0,0.0,1.7657891097311307e-05,0.6239704057904824
2025-04-21,87400.68000826,0.8465941599968687,0.99867,87516.23,0.0,0.0,0.0,0.0,0.0030697104177230816,0.6289555246632113
2025-04-22,93319.55741746,0.8465941599968687,0.99867,93442.99,0.0,0.0,0.0,0.0,0.067721182588518,0.7392703191775037
2025-04-23,93567.31745776,0.8465941599968687,0.99867,93691.08,0.0,0.0,0.0,0.0,0.0026549637306105822,0.7438880187926477
2025-04-24,93856.32256906,0.8465941599968687,0.99867,93980.47,0.0,0.0,0.0,0.0,0.0030887399484382794,0.7492744353818954
2025-04-25,94513.65714976,0.8465941599968687,0.99867,94638.68,0.0,0.0,0.0,0.0,0.00700362599670723,0.7615256992929114
2025-04-26,94502.99135416,0.8465941599968687,0.99867,94628.0,0.0,0.0,0.0,0.0,-0.00011284925291910053,0.7613269124337484
2025-04-27,93625.46002515999,0.8465941599968687,0.99867,93749.3,0.0,0.0,0.0,0.0,-0.009285751873306936,0.7449716677571107
2025-04-28,94885.66172476,0.8465941599968687,0.99867,95011.18,0.0,0.0,0.0,0.0,0.013460032124395838,0.7684590424612822
2025-04-29,94132.30502356001,0.8465941599968687,0.99867,94256.82,0.0,0.0,0.0,0.0,-0.007939626361939567,0.7544181384277462
2025-04-30,180522.828631,86476.07739100001,0.99867,94172.0,0.0,0.0,0.0,0.0,0.9177563811469149,2.364546580169702
2025-05-01,189848.95472287,4.091898769982436,1.96751,96489.91,0.0,0.0,0.0,0.0,0.05166175470767276,2.5383649602969682
2025-05-02,190630.50872016998,4.091898769982436,1.96751,96887.14,0.0,0.0,0.0,0.0,0.004116714776970287,2.5529313996153364
