date,datetime,open_price,high_price,low_price,close_price,volume_btc,volume_usdt,trade_count,taker_buy_volume_btc,taker_buy_volume_usdt,price_change,price_change_abs,high_low_ratio,volume_ratio,ma_7,ma_30,ma_90
2025-03-15,2025-03-15 00:00:00+00:00,83983.19,84676.28,83618.0,84338.44,11324.7332,953445671.8337504,1329670,5195.29128,437551330.253166,0.004229893597767154,355.24000000000524,1.0126561266712908,0.4589158493022774,82197.25142857143,89430.07433333334,
2025-03-16,2025-03-16 00:00:00+00:00,84338.44,85117.04,81981.12,82574.53,17596.12531,1468056556.2967227,2767947,8505.95317,710037465.075748,-0.020914662400679962,-1763.9100000000035,1.0382517340577928,0.48365811387189883,82460.13142857143,88932.54266666666,
2025-03-17,2025-03-17 00:00:00+00:00,82574.52,84756.83,82456.0,84010.03,17214.74358,1437716814.046874,3014756,8387.89111,700505421.7877294,0.017384295133135996,1435.5,1.027903730474435,0.48723463128733413,83233.58428571429,88480.555,
2025-03-18,2025-03-18 00:00:00+00:00,84010.02,84021.74,81134.66,82715.03,17610.89883,1450813055.479726,3126371,8047.23418,662808749.3427887,-0.015414826063030795,-1295.0,1.0355838059837805,0.45685331189939166,83202.44714285714,88033.78533333333,
2025-03-19,2025-03-19 00:00:00+00:00,82715.03,87000.0,82547.16,86845.94,28151.05374,2375813941.9437623,3774761,13804.24847,1166238970.2811463,0.04994146771149088,4130.9100000000035,1.0539429824115087,0.4908797569084862,83654.70714285715,87735.98333333334,
2025-03-20,2025-03-20 00:00:00+00:00,86845.93,87453.67,83655.23,84223.39,22090.30463,1885241921.155652,3252595,10163.59262,867440339.2962606,-0.030197727147636355,-2622.550000000003,1.0454058879522536,0.4601214992951781,84098.65142857144,87354.37166666666,
2025-03-21,2025-03-21 00:00:00+00:00,84223.38,84850.33,83175.25,84088.79,11956.97443,1005135519.2560016,2360005,5466.41961,459501348.0817583,-0.0015981308755205204,-134.60000000000582,1.0201391639940969,0.45715362682823096,84113.73571428572,86935.85233333334,
2025-03-22,2025-03-22 00:00:00+00:00,84088.79,84539.17,83625.1,83840.59,5420.22114,456235443.80165213,864481,2284.19178,192291026.7874248,-0.0029516419489445944,-248.1999999999971,1.0109305698887057,0.42147323142001025,84042.61428571427,86453.70533333333,
2025-03-23,2025-03-23 00:00:00+00:00,83840.59,86129.64,83809.75,86082.5,8461.97813,718692319.1499039,1206533,4424.81013,376007261.5213597,0.02674015056430301,2241.9100000000035,1.0276804309761096,0.5231825240126611,84543.75285714286,86117.05600000001,
2025-03-24,2025-03-24 00:00:00+00:00,86082.5,88765.43,85519.09,87498.16,30115.62111,2636765917.9518437,2916713,14379.95578,1258638667.112904,0.01644538669299811,1415.6600000000035,1.0379604132831628,0.47734182945241294,85042.05714285714,85815.29433333334,
2025-03-25,2025-03-25 00:00:00+00:00,87498.16,88539.63,86310.0,87392.87,22643.25248,1979571590.8982935,2802815,9440.56294,825308072.6337814,-0.0012033395902268929,-105.29000000000815,1.0258328119568996,0.4169124655195075,85710.31999999999,85519.79,94072.06166666668
2025-03-26,2025-03-26 00:00:00+00:00,87392.88,88275.0,85860.0,86909.17,18408.78485,1606406955.5864632,2380154,8590.97753,749604853.2968135,-0.005534776464029556,-483.6999999999971,1.0281271837875612,0.46663446687028914,85719.35285714285,85364.99966666667,93973.36800000002
2025-03-27,2025-03-27 00:00:00+00:00,86909.17,87756.39,85800.0,87232.01,17098.03897,1487968807.7079022,2376381,8185.05517,712324893.2889168,0.003714682811951864,322.8399999999965,1.0228017482517482,0.47872300118051314,86149.1557142857,85316.72,93894.84555555556
2025-03-28,2025-03-28 00:00:00+00:00,87232.01,87515.67,83585.0,84424.38,27182.73169,2309946560.6641135,3236085,11274.83736,958523321.8112733,-0.0321857767578666,-2807.62999999999,1.0470260214153257,0.41495476048402447,86197.09714285715,85322.52966666665,93774.00533333333
2025-03-29,2025-03-29 00:00:00+00:00,84424.38,84624.73,81644.81,82648.54,11696.39864,970199917.9868717,2172387,5621.60485,466215575.48490685,-0.02103468216171689,-1775.840000000011,1.0364985845395438,0.48053557503105815,86026.80428571429,85253.86166666666,93650.78688888889
2025-03-30,2025-03-30 00:00:00+00:00,82648.53,83534.64,81565.0,82389.99,9864.49508,816584795.5288126,1907663,4725.07105,391214080.11011606,-0.0031283069247198814,-258.54999999998836,1.0241481027401458,0.4790856776322531,85499.30285714286,85188.53,93535.20844444445
2025-03-31,2025-03-31 00:00:00+00:00,82390.0,83943.08,81278.52,82550.01,20569.13885,1696009191.0809648,3964358,9912.88184,817875871.1107411,0.0019422262340362817,160.01999999998952,1.0327830772509146,0.4822355181869395,84792.42428571428,85071.37933333333,93412.69744444443
2025-04-01,2025-04-01 00:00:00+00:00,82550.0,85579.46,82432.74,85158.34,20190.39697,1698895702.5754683,3328693,10246.42648,862302772.4330863,0.031596967704788925,2608.3300000000017,1.0381731821603892,0.507566633505438,84473.20571428571,84767.65733333332,93307.88133333334
