date,returns
2025-06-14,-4.85751405354673e-06
2025-06-15,1.3364468565146836e-06
2025-06-16,8.944801449084494e-06
2025-06-17,-1.6714615575286196e-05
2025-06-18,-0.0013385751339893837
2025-06-19,-0.0008445162952497309
2025-06-20,-0.00503974793819062
2025-06-21,-0.004385413355152523
2025-06-22,-0.00943407316093392
2025-06-23,0.03295925628546237
2025-06-24,0.0054692681415471345
2025-06-25,0.009132162541838573
2025-06-26,-0.0028317621491527056
2025-06-27,0.0007254662426787739
2025-06-28,0.0017970270414622291
2025-06-29,0.007631151172513562
2025-06-30,-0.008646989456940202
2025-07-01,-0.010559448906000246
2025-07-02,0.023075729745608564
2025-07-03,0.00523351070746636
2025-07-04,-0.011334412328492527
2025-07-05,0.001531980483459927
2025-07-06,-0.0011516797138448887
