date,txn_volume,txn_shares
2025-05-13 01:39:02.942000+00:00,-17.3757612,-0.00017
2025-05-13 01:39:03.408000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:03.714000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:04.131000+00:00,-5.110518,-5e-05
2025-05-13 01:39:04.206000+00:00,-35.773626,-0.00035
2025-05-13 01:39:04.656000+00:00,-99.1440492,-0.00097
2025-05-13 01:39:04.880000+00:00,-43.9504548,-0.00043
2025-05-13 01:39:05.195000+00:00,-84.8345988,-0.00083
2025-05-13 01:39:12.841000+00:00,-13442.7065472,-0.13152
2025-05-13 01:39:12.841000+00:00,-15985.700304,-0.1564
2025-05-13 01:39:12.841000+00:00,-4039.3534272,-0.03952
2025-05-13 01:39:12.841000+00:00,-3293.2177992,-0.03222
2025-05-13 01:39:12.842000+00:00,-19327.979076,-0.1891
2025-05-13 01:40:34.715000+00:00,-103.2220101,-0.00101
2025-05-13 01:40:34.715000+00:00,-11.2420011,-0.00011
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-10.220001,-0.0001
2025-05-13 01:40:34.715000+00:00,-18.3960018,-0.00018
2025-05-13 01:40:34.715000+00:00,-5.1100005,-5e-05
2025-05-13 01:40:34.715000+00:00,-8632.8348447,-0.08447
2025-05-13 01:40:34.715000+00:00,-8.1760008,-8e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-44.9680044,-0.00044
2025-05-13 01:40:34.715000+00:00,-28.6160028,-0.00028
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-10.220001,-0.0001
2025-05-13 01:40:34.715000+00:00,-10.220001,-0.0001
2025-05-13 01:40:34.715000+00:00,-136.9480134,-0.00134
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-9.1980009,-9e-05
2025-05-13 01:40:34.715000+00:00,-8.1760008,-8e-05
2025-05-13 01:40:34.715000+00:00,-8.1760008,-8e-05
2025-05-13 01:40:34.715000+00:00,-5.1100005,-5e-05
2025-05-13 01:40:34.715000+00:00,-5.1100005,-5e-05
2025-05-13 01:40:34.715000+00:00,-44.9680044,-0.00044
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-14.3080014,-0.00014
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-44.9680044,-0.00044
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:34.715000+00:00,-6.1320006,-6e-05
2025-05-13 01:40:35.163000+00:00,-99.1340097,-0.00097
2025-05-13 01:40:35.487000+00:00,-366.8980359,-0.00359
2025-05-13 01:40:35.830000+00:00,-763.4340747,-0.00747
2025-05-13 01:40:36.011000+00:00,-284.1160278,-0.00278
2025-05-13 01:40:36.203000+00:00,-99.1340097,-0.00097
2025-05-13 01:41:30.732000+00:00,-1187.3227494,-0.01163
2025-05-13 01:41:30.732000+00:00,-1046.436645,-0.01025
2025-05-13 01:41:30.732000+00:00,-653.384832,-0.0064
2025-05-13 01:41:30.732000+00:00,-1440.5093718,-0.01411
2025-05-13 01:41:30.732000+00:00,-842.253885,-0.00825
2025-05-13 01:41:30.732000+00:00,-1520.1406482,-0.01489
2025-05-13 01:41:30.732000+00:00,-1832.540271,-0.01795
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-239.914743,-0.00235
2025-05-13 01:41:30.732000+00:00,-44.9202072,-0.00044
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-7228.069704,-0.0708
2025-05-13 01:41:30.732000+00:00,-7248.48798,-0.071
2025-05-13 01:41:30.732000+00:00,-740.162505,-0.00725
2025-05-13 01:41:30.732000+00:00,-29085.834162,-0.2849
2025-05-13 01:41:30.732000+00:00,-91.882242,-0.0009
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-6.1254828,-6e-05
2025-05-13 01:41:30.732000+00:00,-18.3764484,-0.00018
2025-05-13 01:41:30.732000+00:00,-37913.6757906,-0.37137
2025-05-13 01:42:11.917000+00:00,-1581.1432992,-0.01548
2025-06-18 08:09:44.089000+00:00,6217.1387652,0.05907
2025-06-18 08:09:44.089000+00:00,25021.1680828,0.23773
2025-06-18 08:09:44.089000+00:00,25021.1680828,0.23773
2025-06-18 08:09:44.089000+00:00,9074.6860392,0.08622
2025-06-18 08:09:44.089000+00:00,21672.1016276,0.20591
2025-06-18 08:09:44.089000+00:00,15487.590474,0.14715
2025-06-18 08:09:44.089000+00:00,52.62518,0.0005
2025-06-18 08:09:44.089000+00:00,2703.8817484,0.02569
2025-06-22 02:12:56.776000+00:00,2.0466,2e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,999.7641,0.00977
2025-06-22 02:12:56.776000+00:00,499.3704,0.00488
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,103.3533,0.00101
2025-06-22 02:12:56.776000+00:00,50.1417,0.00049
2025-06-22 02:12:56.776000+00:00,51.165,0.0005
2025-06-22 02:12:56.776000+00:00,7.1631,7e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,50.1417,0.00049
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,10.233,0.0001
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,258.8949,0.00253
2025-06-22 02:12:56.776000+00:00,5034.636,0.0492
2025-06-22 02:12:56.776000+00:00,92.097,0.0009
2025-06-22 02:12:56.776000+00:00,14643.423,0.1431
2025-06-22 02:12:56.776000+00:00,14008.977,0.1369
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,6.1398,6e-05
2025-06-22 02:12:56.776000+00:00,256.8483,0.00251
2025-06-22 02:12:56.776000+00:00,5986.305,0.0585
2025-06-22 02:12:56.776000+00:00,7.1631,7e-05
2025-06-22 02:12:56.776000+00:00,7.1631,7e-05
